,account_id,client_id,district_id,Gender,age,disposition_type,card_type,Year_DOC,Month_DOC,Day_DOC,Frequency_issuance,Nbr_Credit_Trans.,Amount_Credit_Trans.,Nbr_Debit_Trans.,Amount_Debit_Trans.,average_balance,Nbr_Credit_Cash,Nbr_Credit_Bank,Nbr_Credit_Others,Nbr_Debit_Cash,Nbr_Debit_Card,Nbr_Debit_Bank,Amount_Credit_Cash,Amount_Credit_Bank,Amount_Credit_Others,Amount_Debit_Cash,Amount_Debit_Card,Amount_Debit_Bank,Nbr_Statement_Trans.,Amount_Statement_Trans,Nbr_Interest_Credited_Trans,Amount_Interest_Credited_Trans,Nbr_Sanction_Interest_Trans,Amount_Sanction_Interest_Trans,Nbr_Pension_Trans,Amount_Pension_Trans,Nbr_PO_Leasing,Monthly_Amount_PO_Leasing,Nbr_Insurance_Trans,Amount_Insurance_Trans,Nbr_PO_Insurance,Monthly_Amount_PO_Insurance,Nbr_Household_Trans,Amount_Household_Trans,Nbr_PO_Household,Monthly_Amount_PO_Household,Nbr_Other_Trans,Amount_Other_Trans,Nbr_PO_Other,Monthly_Amount_PO_Other,Nbr_Loan_Trans,Amount_Loan_Trans,Nbr_PO_Loan,Monthly_Amount_PO_Loan,Theoritical_Amount_Loan_Due,Loan_Duration,Status_Loan_Owner,Region,Average_salary_district,Average_Unemployment_rate_district
0,1,1,18,Female,29,OWNER,not availed,1995,3,24,Monthly,102,194320.5,137,180854,15994,12,45,45,97,0,40,25700,165555,3065.5,82774,0,98080,40,584,45,3065.5,0,0,0,0,,,0,0,,,40,98080,1,2452,114,273445,,,0,0,,,,,,south Bohemia,8968,3.09
1,343,420,18,Male,21,OWNER,not availed,1994,4,26,Monthly,132,256286.1,184,237829.6,18922,20,56,56,133,0,51,41400,210448,4438.1,110074.6,0,127755,51,744.6,56,4438.1,0,0,0,0,,,0,0,,,51,127755,1,2505,158,361178,,,0,0,,,,,,south Bohemia,8968,3.09
2,413,499,18,Female,64,OWNER,not availed,1996,7,9,Monthly,57,148276.6,81,130775.4,16827,1,29,27,56,0,25,200,146189,1887.6,78100.4,0,52675,24,350.4,27,1887.6,0,0,29,146189,,,0,0,,,25,52675,1,2107,33,77950,,,0,0,,,,,,south Bohemia,8968,3.09
3,431,519,18,Male,19,OWNER,junior,1996,11,5,Monthly,54,528958.6,104,491283.6,36026,28,0,26,60,2,42,524654.5,0,4304.1,335446.6,4700,151137,21,306.6,26,4304.1,0,0,0,0,,,0,0,,,21,136122,1,6482,69,864494.5,1,715,0,0,,,,,,south Bohemia,8968,3.09
4,568,682,18,Male,20,OWNER,not availed,1995,3,28,Monthly,93,614289.7,121,548884,34869,48,0,45,121,0,0,608157,0,6132.7,548884,0,0,40,584,45,6132.7,0,0,0,0,1,1408,0,0,,,0,0,,,129,1156457,,,0,0,,,,,,south Bohemia,8968,3.09
5,945,1140,18,Male,53,OWNER,classic,1996,8,16,Monthly,46,303320.8,46,276336.4,43369,18,0,28,30,6,10,297568,0,5752.8,182486.4,11700,82150,9,131.4,28,5752.8,0,0,0,0,,,0,0,,,10,82150,1,8215,45,491623,,,0,0,,,,,,south Bohemia,8968,3.09
6,970,1169,18,Female,58,OWNER,classic,1997,7,20,Monthly,37,332154.3,56,256195.2,44589,20,0,17,38,6,12,329038,0,3116.3,176375.2,16700,63120,12,175.2,17,3116.3,0,0,0,0,,,0,0,,,12,63120,1,5260,52,521938,,,0,0,,,,,,south Bohemia,8968,3.09
7,1049,1259,18,Male,33,OWNER,not availed,1997,12,4,Monthly,33,68747.6,36,33448.8,29341,7,13,13,20,0,16,18500,48737,1510.6,13456.8,0,19992,8,116.8,13,1510.6,0,0,0,0,,,0,0,,,8,12360,1,1545,32,80577,1,954,0,0,,,,,,south Bohemia,8968,3.09
8,1145,1376,18,Male,41,OWNER,not availed,1993,7,3,Monthly,133,198573.4,248,171487.6,18239,1,66,66,126,0,122,900,192786,4887.4,52720.6,0,118767,61,890.6,66,4887.4,0,0,0,0,,,0,0,,,0,0,1,478,254,364283,1,1469,0,0,,,,,,south Bohemia,8968,3.09
9,1149,1382,18,Female,20,OWNER,junior,1995,9,7,Monthly,58,182422.5,35,155402.2,35394,23,0,35,29,6,0,176736,0,5686.5,140402.2,15000,0,7,102.2,35,5686.5,0,0,0,0,,,0,0,,,0,0,,,51,332036,,,0,0,,,,,,south Bohemia,8968,3.09
10,1171,1410,18,Male,55,OWNER,not availed,1997,12,20,Monthly,27,224833.3,27,172206.2,37380,15,0,12,19,0,8,223152,0,1681.3,109062.2,0,63144,7,102.2,12,1681.3,0,0,0,0,,,0,0,,,8,63144,1,7893,27,332112,,,0,0,,,,,,south Bohemia,8968,3.09
11,1301,1574,18,Male,20,OWNER,not availed,1994,9,15,Monthly,65,246444.1,68,229473.4,22533,14,0,51,68,0,0,240363,0,6081.1,229473.4,0,0,29,423.4,51,6081.1,0,0,0,0,,,0,0,,,0,0,,,53,469413,,,0,0,,,,,,south Bohemia,8968,3.09
12,1552,1883,18,Female,38,OWNER,classic,1994,1,2,Monthly,121,1612434.4,216,1540668,58189,61,0,60,152,9,55,1597090,0,15344.4,1235203,16000,289465,55,803,60,15344.4,0,0,0,0,1,1021,0,0,,,55,289465,1,5263,167,2847490,,,0,0,,,,,,south Bohemia,8968,3.09
13,1632,1978,18,Female,47,OWNER,not availed,1996,1,13,Weekly,106,1774410.4,115,1732094,74616,70,0,36,115,0,0,1763675,0,10735.4,1732094,0,0,33,990,36,10735.4,0,0,0,0,1,1977.6,0,0,,,0,0,,,152,3494779,,,0,0,,,,,,south Bohemia,8968,3.09
14,1733,2103,18,Female,55,OWNER,not availed,1996,4,20,Monthly,66,993016.6,95,971582.6,47323,35,0,31,74,0,21,986773,0,6243.6,849614.6,0,121968,21,306.6,31,6243.6,0,0,0,0,1,3126,0,0,,,21,121968,1,5808,88,1836081,,,0,0,,,,,,south Bohemia,8968,3.09
15,1765,2139,18,Female,67,OWNER,not availed,1996,7,21,Monthly,56,154183.5,83,134215.4,17175,1,29,26,58,0,25,400,152018,1765.5,83940.4,0,50275,24,350.4,26,1765.5,0,0,29,152018,,,0,0,,,25,50275,1,2011,35,83990,,,0,0,,,,,,south Bohemia,8968,3.09
16,1796,2176,18,Male,53,OWNER,not availed,1995,10,14,Monthly,77,838223.6,177,784659.8,46918,39,0,38,109,0,68,830815,0,7408.6,681401.8,0,103258,33,481.8,38,7408.6,0,0,0,0,,,0,0,,,34,61506,1,1809,115,1511735,1,1228,0,0,,,,,,south Bohemia,8968,3.09
17,1919,2329,18,Male,26,OWNER,classic,1994,12,4,Monthly,110,1381804.5,223,1274152.4,78238,61,0,49,106,28,89,1365436.5,0,16368,992282.4,66500,215370,44,642.4,49,16368,0,0,0,0,,,0,0,,,44,199980,1,4545,151,2423576.5,1,342,0,0,,,,,,south Bohemia,8968,3.09
18,2076,2517,18,Male,75,OWNER,not availed,1996,9,17,Monthly,52,169654.9,101,153907.2,20140,1,27,24,56,0,45,800,166833,2021.9,108381.2,0,45526,22,321.2,24,2021.9,0,0,27,166833,,,0,0,,,23,8786,2,2052,35,108860,,,0,0,,,,,,south Bohemia,8968,3.09
19,2174,2631,18,Male,29,OWNER,not availed,1997,10,24,Monthly,24,224319.8,30,197470.6,42112,12,0,12,24,0,6,222266,0,2053.8,171268.6,0,26202,6,87.6,12,2053.8,0,0,0,0,,,0,0,,,6,26202,1,4367,30,393447,,,0,0,,,,,,south Bohemia,8968,3.09
20,2309,2794,18,Male,34,OWNER,not availed,1995,12,3,Monthly,76,686032.8,127,652439.2,30167,39,0,37,94,0,33,681304,0,4728.8,368507.2,0,283932,32,467.2,37,4728.8,0,0,0,0,,,0,0,,,33,283932,1,8604,101,1049344,,,0,0,,,,,,south Bohemia,8968,3.09
21,2350,2841,18,Female,26,OWNER,classic,1996,8,4,Monthly,71,1133235,128,1057340.6,51808,46,0,25,66,0,62,1128050,0,5185,868178.6,0,189162,21,306.6,25,5185,0,0,0,0,,,0,0,,,21,12075,1,575,91,1995922,1,5263,20,66564,1,3328.2,159753.6,48,C,south Bohemia,8968,3.09
22,2402,2900,18,Male,76,OWNER,not availed,1997,11,6,Monthly,29,99812.4,28,53637.4,32644,1,14,14,19,0,9,1000,97202,1610.4,32181.4,0,21456,9,131.4,14,1610.4,0,0,14,97202,,,0,0,,,9,21456,1,2384,11,33050,,,0,0,,,,,,south Bohemia,8968,3.09
23,2421,2924,18,Female,58,OWNER,classic,1995,1,11,Monthly,91,169774.5,188,117927.2,34252,1,47,43,61,1,126,900,162620,6254.5,28393.2,200,89334,42,613.2,43,6254.5,0,0,0,0,,,42,15246,1,363,42,64848,1,1544,68,191500,1,220,0,0,,,,,,south Bohemia,8968,3.09
24,2479,2994,18,Male,36,OWNER,not availed,1993,10,9,Monthly,137,442985.3,302,427146.8,20208,74,0,63,127,0,175,437704,0,5281.3,192646.8,0,234500,58,846.8,63,5281.3,0,0,0,0,,,58,11832,1,204,59,178298,1,3022,143,629504,1,765,0,0,,,,,,south Bohemia,8968,3.09
25,2520,3042,18,Female,31,OWNER,not availed,1995,7,25,Monthly,86,164386.4,108,143535.6,17444,4,41,41,72,0,36,16500,144853,3033.4,58755.6,0,84780,36,525.6,41,3033.4,0,0,0,0,,,0,0,,,36,84780,1,2355,81,219583,,,0,0,,,,,,south Bohemia,8968,3.09
26,2636,3182,18,Female,74,OWNER,not availed,1996,11,26,Monthly,47,124286.7,58,103922,17994,1,25,21,38,0,20,600,122050,1636.7,38842,0,65080,20,292,21,1636.7,0,0,25,122050,,,0,0,,,20,65080,1,3254,19,39150,,,0,0,,,,,,south Bohemia,8968,3.09
27,2726,3292,18,Male,59,OWNER,gold,1995,4,20,Monthly,90,1104341.9,166,1027109.4,61960,46,0,44,118,8,40,1093356,0,10985.9,789529.4,25700,211880,39,569.4,44,10985.9,0,0,0,0,,,0,0,,,40,211880,1,5297,133,1908016,,,0,0,,,,,,south Bohemia,8968,3.09
28,2812,3396,18,Female,22,OWNER,not availed,1996,7,5,Monthly,61,800827.5,94,745500,27632,31,0,30,69,0,25,796775,0,4052.5,540225,0,205275,25,365,30,4052.5,0,0,0,0,,,0,0,,,25,205275,1,8211,75,1336635,,,0,0,,,,,,south Bohemia,8968,3.09
29,2987,3607,18,Female,53,OWNER,not availed,1993,9,16,Monthly,127,1624909.2,232,1551257.8,45126,64,0,63,173,0,59,1613806.5,0,11102.7,1222686.8,0,328571,58,846.8,63,11102.7,0,0,0,0,,,0,0,,,59,328571,1,5569,179,2835646.5,,,0,0,,,,,,south Bohemia,8968,3.09
30,3003,3627,18,Female,18,OWNER,junior,1993,11,27,Monthly,101,396939,89,305111,52129,43,0,58,84,5,0,384747,0,12192,296211,8900,0,35,511,58,12192,0,0,0,0,,,0,0,,,0,0,,,97,689347,,,0,0,,,,,,south Bohemia,8968,3.09
31,3053,3691,18,Male,34,OWNER,not availed,1993,8,23,Monthly,141,937879,293,850896.4,44856,77,0,64,175,0,118,925653,0,12226,410461.4,0,440435,59,861.4,64,12226,0,0,0,0,,,0,0,,,59,223610,1,3790,193,1335253,1,3675,0,0,,,,,,south Bohemia,8968,3.09
32,3079,3723,18,Male,31,OWNER,not availed,1996,2,26,Monthly,65,120470.7,110,101163.4,18252,1,34,30,50,0,60,1000,117266,2204.7,32193.4,0,68970,29,423.4,30,2204.7,0,0,0,0,,,0,0,,,0,0,1,234,116,219006,1,2065,0,0,,,,,,south Bohemia,8968,3.09
33,3088,3735,18,Male,61,OWNER,classic,1996,3,8,Monthly,68,826779.6,117,765782.8,41204,35,0,33,75,13,29,820940,0,5839.6,570368.8,25300,170114,28,408.8,33,5839.6,0,0,0,0,,,0,0,,,29,170114,1,5866,95,1416200,,,0,0,,,,,,south Bohemia,8968,3.09
34,3109,3760,18,Male,44,OWNER,not availed,1995,4,8,Monthly,104,851752.3,132,856053.9,25830,17,44,43,132,0,0,107700,739392,4660.3,856053.9,0,0,37,540.2,43,4660.3,5,130.7,0,0,,,0,0,,,0,0,,,151,1702475,,,0,0,,,,,,south Bohemia,8968,3.09
35,3167,3830,18,Female,31,OWNER,classic,1994,8,8,Monthly,106,1215699.7,148,1115586.2,55532,54,0,52,126,22,0,1204125,0,11574.7,1074286.2,41300,0,47,686.2,52,11574.7,0,0,0,0,,,0,0,,,0,0,,,155,2319025,,,0,0,,,,,,south Bohemia,8968,3.09
36,3192,3858,18,Female,51,OWNER,classic,1996,7,28,Monthly,68,358274.2,124,301808.4,39172,39,0,29,74,1,49,353578,0,4696.2,207230.4,1100,93478,24,350.4,29,4696.2,0,0,0,0,,,0,0,,,24,30528,1,1272,90,561558,1,2518,0,0,,,,,,south Bohemia,8968,3.09
37,3210,3883,18,Male,34,OWNER,classic,1993,5,17,Monthly,136,1798107.8,224,1763081.2,41167,69,0,67,151,11,62,1786341,0,11766.8,1281325.2,23700,458056,62,905.2,67,11766.8,0,0,0,0,,,0,0,,,62,458056,1,7388,169,3090461,,,0,0,,,,,,south Bohemia,8968,3.09
38,3277,3967,18,Female,39,OWNER,not availed,1993,7,12,Monthly,134,1207890.3,197,1155330.6,40593,68,0,66,197,0,0,1196861,0,11029.3,1155330.6,0,0,61,890.6,66,11029.3,0,0,0,0,,,0,0,,,0,0,,,204,2351301,,,0,0,,,,,,south Bohemia,8968,3.09
39,3287,3978,18,Male,29,OWNER,not availed,1993,7,26,Monthly,131,1557410.1,253,1504156,35359,66,0,65,193,0,60,1547388,0,10022.1,1086076,0,418080,60,876,65,10022.1,0,0,0,0,,,0,0,,,60,418080,1,6968,199,2632588,,,0,0,,,,,,south Bohemia,8968,3.09
40,3540,4273,18,Female,23,OWNER,not availed,1997,1,3,Monthly,61,129860.9,62,87282.4,33169,13,24,24,43,0,19,34300,92352,3208.9,38547.4,0,48735,19,277.4,24,3208.9,0,0,0,0,,,0,0,,,19,48735,1,2565,61,164922,,,0,0,,,,,,south Bohemia,8968,3.09
41,3559,4295,18,Male,39,OWNER,classic,1995,12,30,Monthly,76,560987.6,120,500210.6,41270,40,0,36,77,12,31,554804,0,6183.6,344252.6,19000,136958,31,452.6,36,6183.6,0,0,0,0,,,0,0,,,31,136958,1,4418,98,917604,,,0,0,,,,,,south Bohemia,8968,3.09
42,3602,4345,18,Female,25,OWNER,classic,1996,12,3,Monthly,74,1146682,78,1068516.6,61971,50,0,24,71,7,0,1141135,0,5547,1050516.6,18000,0,21,306.6,24,5547,0,0,0,0,,,0,0,,,0,0,,,107,2209345,,,0,0,,,,,,south Bohemia,8968,3.09
43,3633,4382,18,Male,19,OWNER,junior,1997,2,6,Monthly,55,318011.2,88,267347.8,34579,32,0,23,50,1,37,314650,0,3361.2,116762.8,2500,148085,18,262.8,23,3361.2,0,0,0,0,,,0,0,,,19,133703,1,7037,65,433650,1,799,0,0,,,,,,south Bohemia,8968,3.09
44,3821,4605,18,Female,19,OWNER,not availed,1996,4,18,Monthly,104,317388.4,73,301338,27127,72,0,32,73,0,0,313852,0,3536.4,301338,0,0,30,438,32,3536.4,0,0,0,0,,,0,0,,,0,0,,,115,614752,,,0,0,,,,,,south Bohemia,8968,3.09
45,3904,4708,18,Male,49,OWNER,not availed,1996,10,5,Monthly,55,86582,66,63671.2,19006,1,27,27,44,0,22,600,84051,1931,18021.2,0,45650,22,321.2,27,1931,0,0,0,0,,,0,0,,,22,45650,1,2075,50,102351,,,0,0,,,,,,south Bohemia,8968,3.09
46,3921,4729,18,Male,54,OWNER,not availed,1994,7,17,Monthly,125,1708400.6,152,1675983.4,57985,77,0,48,152,0,0,1697100,0,11300.6,1675983.4,0,0,44,642.4,48,11300.6,0,0,0,0,,,0,0,,,0,0,,,185,3372441,,,0,0,,,,,,south Bohemia,8968,3.09
47,4511,5441,18,Male,42,OWNER,not availed,1993,9,26,Monthly,156,510965.7,202,485730.8,25875,93,0,63,144,0,58,504057,0,6908.7,256746.8,0,228984,58,846.8,63,6908.7,0,0,0,0,1,798,0,0,,,58,228984,1,3948,179,759957,,,0,0,,,,,,south Bohemia,8968,3.09
48,9156,11271,18,Male,62,OWNER,not availed,1997,9,14,Monthly,37,312896.9,35,281214.9,28793,12,0,25,34,0,1,309900,0,2996.9,276677.6,0,4537.3,6,87.6,25,2996.9,0,0,0,0,,,0,0,,,0,0,,,40,586490,,,1,4537.3,1,4537.3,163342.8,36,C,south Bohemia,8968,3.09
49,10973,13490,18,Female,30,OWNER,not availed,1993,4,20,Weekly,187,3152244.4,287,3094607.6,59250,118,0,69,239,0,48,3137980,0,14264.4,2940206,0,154401.6,66,1980,69,14264.4,0,0,0,0,,,0,0,,,0,0,,,291,6076206,,,48,154401.6,1,3216.7,154401.6,48,A,south Bohemia,8968,3.09
50,2,2,1,Male,54,OWNER,not availed,1993,2,26,Monthly,152,1597053.5,326,1554425.8,36541,12,70,70,237,0,89,48400,1537936,10717.5,1001191,0,553234.8,65,949,70,10717.5,0,0,0,0,,,0,0,,,65,472290,1,7266,254,2586578,,,24,80944.8,1,3372.7,80944.8,24,A,Prague,12541,0.36
51,17,22,1,Female,30,OWNER,not availed,1997,1,8,Monthly,33,255463.6,21,157585.6,50792,16,0,17,19,0,2,251244,0,4219.6,149521.6,0,8064,1,14.6,17,4219.6,0,0,0,0,,,0,0,,,2,8064,1,4032,34,400751,,,0,0,,,,,,Prague,12541,0.36
52,22,28,1,Male,54,OWNER,not availed,1994,3,23,Monthly,118,1067603.3,192,1031863.2,40694,61,0,57,140,0,52,1057631,0,9972.3,701559.2,0,330304,52,759.2,57,9972.3,0,0,0,0,,,0,0,,,52,330304,1,6352,149,1758431,,,0,0,,,,,,Prague,12541,0.36
53,49,58,1,Female,72,OWNER,not availed,1997,4,6,Monthly,43,99236.2,50,83925.6,15599,1,21,21,34,0,16,300,97734,1202.2,34293.6,0,49632,16,233.6,21,1202.2,0,0,21,97734,,,0,0,,,16,49632,1,3102,19,34360,,,0,0,,,,,,Prague,12541,0.36
54,50,59,1,Male,42,OWNER,not availed,1994,5,6,Monthly,117,1001516.6,260,915387.6,37433,61,0,56,158,0,102,992330,0,9186.6,543444.6,0,371943,51,744.6,56,9186.6,0,0,0,0,,,0,0,,,51,13719,1,269,168,1535030,1,7024,0,0,,,,,,Prague,12541,0.36
55,57,66,1,Female,48,OWNER,not availed,1995,5,21,Monthly,87,1009432.7,168,946427.8,43839,44,0,43,129,0,39,1002176,0,7256.7,786254.8,0,160173,38,554.8,43,7256.7,0,0,0,0,,,0,0,,,39,160173,1,4107,135,1787876,,,0,0,,,,,,Prague,12541,0.36
56,66,77,1,Female,43,OWNER,classic,1993,12,3,Immediate,123,2989785.1,193,2889532,64826,1,61,61,188,5,0,400,2973420,15965.1,2875132,14400,0,56,5600,61,15965.1,0,0,0,0,1,4471.3,0,0,,,0,0,,,199,5857752,,,0,0,,,,,,Prague,12541,0.36
57,71,83,1,Female,21,OWNER,junior,1994,3,5,Monthly,118,1382682.7,378,1313111.8,51627,60,0,58,143,22,213,1369576,0,13106.7,1034973.8,46100,232038,53,773.8,58,13106.7,0,0,0,0,,,54,54594,1,1011,53,51304,1,968,172,2449876,2,2380,0,0,,,,,,Prague,12541,0.36
58,72,85,1,Male,38,OWNER,not availed,1996,6,20,Weekly,92,1654840.5,150,1632504,55671,61,0,31,92,0,58,1648906,0,5934.5,1360049,0,272455,28,840,31,5934.5,0,0,0,0,1,2923,0,0,,,29,206161,1,7109,125,3008115,1,2286,0,0,,,,,,Prague,12541,0.36
59,75,89,1,Female,48,OWNER,not availed,1995,8,13,Monthly,82,555590.5,133,530295,24760,42,0,40,97,0,36,551525,0,4065.5,409011,0,121284,35,511,40,4065.5,0,0,0,0,,,0,0,,,36,121284,1,3369,104,960025,,,0,0,,,,,,Prague,12541,0.36
60,90,107,1,Male,27,OWNER,not availed,1994,7,13,Monthly,110,1431980.4,347,1407853.4,31182,56,0,54,151,0,196,1423701,0,8279.4,923635.4,0,484218,49,715.4,54,8279.4,0,0,0,0,,,49,214228,1,4372,49,135926,1,2774,158,2346621,2,2736,0,0,,,,,,Prague,12541,0.36
61,95,112,1,Male,64,OWNER,classic,1995,3,30,Monthly,92,1182225.9,125,1101784,54172,47,0,45,102,23,0,1172919,0,9306.9,1043884,57900,0,40,584,45,9306.9,0,0,0,0,,,0,0,,,0,0,,,132,2274119,,,0,0,,,,,,Prague,12541,0.36
62,99,120,1,Male,23,OWNER,not availed,1995,6,27,Monthly,93,1258139.7,155,1255832.4,48417,52,0,41,91,0,64,1250922,0,7217.7,961912.4,0,293920,34,496.4,41,7217.7,0,0,0,0,,,0,0,,,32,144096,1,4503,109,2212338,1,4682,0,0,,,,,,Prague,12541,0.36
63,152,183,1,Female,21,OWNER,not availed,1996,4,12,Monthly,76,210060.4,120,191426.2,19916,44,0,32,64,0,56,207415,0,2645.4,95694.2,0,95732,27,394.2,32,2645.4,0,0,0,0,,,0,0,,,28,11928,1,426,81,302715,1,2993,0,0,,,,,,Prague,12541,0.36
64,160,193,1,Male,37,OWNER,not availed,1993,9,4,Monthly,152,948345.1,285,899407.4,53673,88,0,64,166,0,119,934385.5,0,13959.6,426221.4,0,473186,59,861.4,64,13959.6,0,0,0,0,,,0,0,,,59,140066,1,2374,195,1359745.5,1,5552,0,0,,,,,,Prague,12541,0.36
65,177,216,1,Male,39,OWNER,not availed,1997,9,26,Monthly,32,325517.2,27,263146,45481,17,0,15,27,0,0,323025,0,2492.2,263146,0,0,10,146,15,2492.2,0,0,0,0,,,0,0,,,0,0,,,34,586025,,,0,0,,,,,,Prague,12541,0.36
66,179,218,1,Female,19,OWNER,not availed,1997,9,22,Weekly,38,643319.3,81,599071,53200,24,0,14,36,0,45,640345,0,2974.3,448356,0,150715,11,330,14,2974.3,0,0,0,0,,,12,4536,1,378,11,83765,1,7615,49,1088371,2,5674,0,0,,,,,,Prague,12541,0.36
67,186,226,1,Male,57,OWNER,not availed,1993,7,29,Weekly,172,2603771.8,241,2529334,66522,107,0,65,182,0,59,2587560,0,16211.8,2124476,0,404858,59,1770,65,16211.8,0,0,0,0,,,0,0,,,59,404858,1,6862,230,4710266,,,0,0,,,,,,Prague,12541,0.36
68,197,239,1,Female,25,OWNER,not availed,1993,2,25,Monthly,144,1666326.2,230,1614253,42001,74,0,70,164,0,66,1655168,0,11158.2,990289,0,623964,65,949,70,11158.2,0,0,0,0,,,0,0,,,66,623964,1,9454,173,2644508,,,0,0,,,,,,Prague,12541,0.36
69,205,247,1,Male,42,OWNER,not availed,1997,10,8,Monthly,37,133663.1,34,88396,35806,22,0,15,24,0,10,131459,0,2204.1,45426,0,42970,10,146,15,2204.1,0,0,0,0,,,0,0,,,10,42970,1,4297,36,176739,,,0,0,,,,,,Prague,12541,0.36
70,229,275,1,Female,81,OWNER,not availed,1997,6,7,Monthly,39,106841.9,50,82629.4,20885,1,19,19,35,0,15,1100,104348,1393.9,45054.4,0,37575,14,204.4,19,1393.9,0,0,19,104348,,,0,0,,,15,37575,1,2505,22,45950,,,0,0,,,,,,Prague,12541,0.36
71,230,276,1,Male,42,OWNER,not availed,1996,2,26,Monthly,70,655356.5,181,643543.4,37089,36,0,34,91,0,90,650941,0,4415.5,397543.4,0,246000,29,423.4,34,4415.5,0,0,0,0,,,30,31740,1,1058,30,168450,1,5615,98,1048061,1,1527,0,0,,,,,,Prague,12541,0.36
72,248,300,1,Female,42,OWNER,not availed,1995,4,2,Monthly,91,1225190.7,117,1189858,40076,1,45,45,117,0,0,700,1217605,6885.7,1189858,0,0,40,584,45,6885.7,0,0,0,0,1,2484.9,0,0,,,0,0,,,123,2407579,,,0,0,,,,,,Prague,12541,0.36
73,271,328,1,Female,81,OWNER,not availed,1996,8,13,Monthly,59,205637.4,83,146650.4,44848,1,29,29,59,0,24,400,200274,4963.4,109810.4,0,36840,24,350.4,29,4963.4,0,0,29,200274,,,0,0,,,24,36840,1,1535,36,109860,,,0,0,,,,,,Prague,12541,0.36
74,274,331,1,Male,57,OWNER,not availed,1993,8,20,Monthly,132,1434950.4,240,1392215.4,35641,68,0,64,181,0,59,1424761,0,10189.4,808941.4,0,583274,59,861.4,64,10189.4,0,0,0,0,,,0,0,,,59,583274,1,9886,190,2232841,,,0,0,,,,,,Prague,12541,0.36
75,281,339,1,Male,33,OWNER,classic,1996,10,27,Monthly,70,356681.2,75,296222.6,46496,44,0,26,52,1,22,351857,0,4824.2,170506.6,3000,122716,21,306.6,26,4824.2,0,0,0,0,,,0,0,,,22,122716,1,5578,76,525057,,,0,0,,,,,,Prague,12541,0.36
